timestep,dis,timestamps,date
0.006421041668,5.0,1.4549561056626435e+18,2016-02-08 18:28:25.662643456
0.0665145,0.0,1.454956105722737e+18,2016-02-08 18:28:25.722736896
0.184524125,5.0,1.4549561058407465e+18,2016-02-08 18:28:25.840746496
0.8298475833,0.0,1.45495610648607e+18,2016-02-08 18:28:26.486070016
42.53545446,5.0,1.454956148191677e+18,2016-02-08 18:29:08.191676928
42.53888796000199,5.0,1.4549561481951104e+18,2016-02-08 18:29:08.195110400
43.1314730017,0.0,1.4549561487876954e+18,2016-02-08 18:29:08.787695360
87.33456949999999,5.0,1.454956192990792e+18,2016-02-08 18:29:52.990791936
87.341215124999,5.0,1.4549561929974377e+18,2016-02-08 18:29:52.997437696
88.18661145829998,0.0,1.454956193842834e+18,2016-02-08 18:29:53.842833920
120.39171562999998,5.0,1.454956226047938e+18,2016-02-08 18:30:26.047938048
120.39923021333298,5.0,1.4549562260554527e+18,2016-02-08 18:30:26.055452672
120.97666479669998,0.0,1.4549562266328873e+18,2016-02-08 18:30:26.632887296
164.65323895999995,5.0,1.4549562703094615e+18,2016-02-08 18:31:10.309461504
164.65989325166098,5.0,1.4549562703161157e+18,2016-02-08 18:31:10.316115712
165.19136354329999,0.0,1.454956270847586e+18,2016-02-08 18:31:10.847586048
190.98990833,5.0,1.4549562966461307e+18,2016-02-08 18:31:36.646130688
190.997212663332,5.0,1.4549562966534351e+18,2016-02-08 18:31:36.653435136
191.6341533717,0.0,1.454956297290376e+18,2016-02-08 18:31:37.290375936
220.91463191,5.0,1.4549563265708544e+18,2016-02-08 18:32:06.570854400
